video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,publishTime
Hh0ioHFszOo,2019-10-03T11:02:30Z,UC6IbXmy2zEeqS7XB0f1z-Uw,Gojek Bangalore office tour,"Welcome to Gojek's Bangalore office! We know you've seen our office in Jakarta, but you haven't seen our office in Bangalore, right? We occupy 3 floors of a ...",https://i.ytimg.com/vi/Hh0ioHFszOo/default.jpg,120,90,https://i.ytimg.com/vi/Hh0ioHFszOo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Hh0ioHFszOo/hqdefault.jpg,480,360,Life at Gojek,none,2019-10-03T11:02:30Z
U-6abjz9DHc,2019-04-30T03:04:05Z,UCKCCWhzBKhkw5dOA_fSV87A,Episode 1: GOJEK&#39;s Growing Pains Of Becoming A Decacorn,The debut of Nadiem's brain-child takes a different tune on the highlights and lowlights of 'unicorns' in Asia.This episode sees the founders discuss the ...,https://i.ytimg.com/vi/U-6abjz9DHc/default.jpg,120,90,https://i.ytimg.com/vi/U-6abjz9DHc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/U-6abjz9DHc/hqdefault.jpg,480,360,GO FIGURE BY GOJEK,none,2019-04-30T03:04:05Z
Tn4MGnTkF8c,2019-02-11T04:21:27Z,UC6IbXmy2zEeqS7XB0f1z-Uw,GOJEK. A Super App.,A Super App is many apps within an umbrella app. It's an Operating System that unbundles the tyranny of apps. It's a portal to the internet for a mobile-first ...,https://i.ytimg.com/vi/Tn4MGnTkF8c/default.jpg,120,90,https://i.ytimg.com/vi/Tn4MGnTkF8c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Tn4MGnTkF8c/hqdefault.jpg,480,360,Life at Gojek,none,2019-02-11T04:21:27Z
ssGhuFOYqvw,2019-12-13T11:02:18Z,UCoUxsWakJucWg46KW5RsvPw,Gojek and Grab: the rise of the south-east Asian super app | FT,They started out as Uber copycats but Grab and Gojek have transformed everyday life for Indonesians with their payment technology. Mercedes Ruehl looks at ...,https://i.ytimg.com/vi/ssGhuFOYqvw/default.jpg,120,90,https://i.ytimg.com/vi/ssGhuFOYqvw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ssGhuFOYqvw/hqdefault.jpg,480,360,Financial Times,none,2019-12-13T11:02:18Z
9oFEupLJjcY,2020-11-05T02:59:01Z,UCLn6Gn7QX3iLedzRpXSc2rA,Hack akun gojek gopaetner yg gagu jadi gacor,Apk mod gopartner gojek.,https://i.ytimg.com/vi/9oFEupLJjcY/default.jpg,120,90,https://i.ytimg.com/vi/9oFEupLJjcY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9oFEupLJjcY/hqdefault.jpg,480,360,Bobo online,none,2020-11-05T02:59:01Z
UVGvNGiNyQ4,2020-10-02T05:36:10Z,UCk9atH5zNNqCHVbwmT5G9RQ,"Quy Trình Đăng Kí GOJEK Chi Tiết, Ngày Kiếm 500k-900k -Tuấn Panda-",Hello! Các bạn hãy ủng hộ mình bằng cách nhấn Like và Đăng Kí Kênh để ủng hộ mình ra thêm video nhé!! Cảm ơn các bạn rất nhiều Và đừng quên bấm ...,https://i.ytimg.com/vi/UVGvNGiNyQ4/default.jpg,120,90,https://i.ytimg.com/vi/UVGvNGiNyQ4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/UVGvNGiNyQ4/hqdefault.jpg,480,360,Tuấn Panda,none,2020-10-02T05:36:10Z
H_i_tp2nMCY,2020-08-05T03:59:25Z,UCQ1mr5sIb3AZ6aNpZFJwOcg,Gojek - Phiêu nhịp sống,"Với Gojek, không có gì có thể ngăn cản bạn tận hưởng nhịp sống của mình! #PhieuNhipSong Tải ngay Gojek trên kho ứng dụng App Store/Google Play Store: ...",https://i.ytimg.com/vi/H_i_tp2nMCY/default.jpg,120,90,https://i.ytimg.com/vi/H_i_tp2nMCY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/H_i_tp2nMCY/hqdefault.jpg,480,360,Gojek Vietnam,none,2020-08-05T03:59:25Z
QOnTUiG4-0g,2020-10-21T11:20:09Z,UCPE0WMKntdPnnTyMHBX7Ymw,Trải nghiệm : 1 ngày chạy xe ôm công nghệ ( gojek) sẽ như thế nào ? - cái kết về Thu nhập.,"1 ngày Duy được trải nghiệm thực tế công việc chạy xe ôm công nghệ ( hãng gojek). Thấy được những vất vả, nguy hiểm của công việc này ( tai nạn , cướp, ...",https://i.ytimg.com/vi/QOnTUiG4-0g/default.jpg,120,90,https://i.ytimg.com/vi/QOnTUiG4-0g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QOnTUiG4-0g/hqdefault.jpg,480,360,Ba Duy,none,2020-10-21T11:20:09Z
deIGUF9ckaI,2019-10-17T08:16:54Z,UC6IbXmy2zEeqS7XB0f1z-Uw,How Gojek Tech Hires an Engineer,"Pallavi Jain, Gojek Tech Recruiter, explains the complete steps of how we hire an engineer at Gojek. From CV reviews to interviews, Pallavi will give you a peek ...",https://i.ytimg.com/vi/deIGUF9ckaI/default.jpg,120,90,https://i.ytimg.com/vi/deIGUF9ckaI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/deIGUF9ckaI/hqdefault.jpg,480,360,Life at Gojek,none,2019-10-17T08:16:54Z
pv2rO6U6QAY,2020-08-09T01:30:01Z,UCuQJbcrNnIMAV-kF8nUaqTw,GOJEK Việt Nam: &quot;Đứng trên vai siêu kỳ lân Đông Nam Á để trở thành siêu ứng dụng tại Việt Nam!&quot;,"GOJEK Việt Nam: ""Đứng trên vai siêu kỳ lân Đông Nam Á để trở thành siêu ứng dụng tại Việt Nam!"" Từ ngày 05/08/20, ứng dụng Goviet sẽ chính thức chuyển ...",https://i.ytimg.com/vi/pv2rO6U6QAY/default.jpg,120,90,https://i.ytimg.com/vi/pv2rO6U6QAY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pv2rO6U6QAY/hqdefault.jpg,480,360,HTV CafeTek,none,2020-08-09T01:30:01Z
